16.1, 43.45,4.04
16.5, 43.25,4.05
16.5, 43.25,4.05
16.88, 43.06,4.06
16.88, 43.06,4.06
17.24, 42.88,4.08
17.24, 42.88,4.08
17.59, 42.7,4.09
17.59, 42.7,4.09
17.93, 42.52,4.1
17.93, 42.52,4.1
18.26, 42.33,4.11
18.26, 42.33,4.11
18.6, 42.14,4.12
18.6, 42.14,4.12
18.93, 41.94,4.14
18.93, 41.94,4.14
19.28, 41.72,4.15
19.28, 41.72,4.15
19.64, 41.49,4.16
19.64, 41.49,4.16
20.01, 41.24,4.17
20.01, 41.24,4.17
20.41, 40.97,4.18
20.41, 40.97,4.18
20.83, 40.67,4.19
20.83, 40.67,4.19
21.28, 40.36,4.2
21.28, 40.36,4.2
21.72, 40.04,4.21
21.72, 40.04,4.21
22.17, 39.71,4.22
22.17, 39.71,4.22
22.61, 39.39,4.23
22.61, 39.39,4.23
23.04, 39.07,4.24
23.04, 39.07,4.24
23.43, 38.78,4.25
23.43, 38.78,4.25
23.79, 38.51,4.26
23.79, 38.51,4.26
24.1, 38.27,4.27
24.1, 38.27,4.27
24.36, 38.08,4.27
24.36, 38.08,4.27
24.56, 37.93,4.28
24.56, 37.93,4.28
24.68, 37.83,4.29
24.68, 37.83,4.29
24.73, 37.8,4.3
24.73, 37.8,4.3
24.71, 37.81,4.31
24.71, 37.81,4.31
24.69, 37.82,4.31
24.69, 37.82,4.31
24.64, 37.85,4.32
24.64, 37.85,4.32
24.58, 37.89,4.33
24.58, 37.89,4.33
24.52, 37.93,4.33
24.52, 37.93,4.33
24.45, 37.98,4.34
24.45, 37.98,4.34
24.37, 38.03,4.35
24.37, 38.03,4.35
24.3, 38.07,4.35
24.3, 38.07,4.35
24.22, 38.12,4.36
24.22, 38.12,4.36
24.16, 38.16,4.37
24.16, 38.16,4.37
24.1, 38.2,4.37
24.1, 38.2,4.37
24.06, 38.23,4.38
24.06, 38.23,4.38
24.03, 38.25,4.38
24.03, 38.25,4.38
24.02, 38.25,4.39
24.02, 38.25,4.39
24.06, 38.22,4.39
24.06, 38.22,4.39
24.19, 38.12,4.4
24.19, 38.12,4.4
24.39, 37.97,4.4
24.39, 37.97,4.4
24.64, 37.78,4.41
24.64, 37.78,4.41
24.93, 37.56,4.41
24.93, 37.56,4.41
25.23, 37.32,4.42
25.23, 37.32,4.42
25.55, 37.08,4.42
25.55, 37.08,4.42
25.85, 36.83,4.43
25.85, 36.83,4.43
26.13, 36.6,4.43
26.13, 36.6,4.43
26.38, 36.38,4.43
26.38, 36.38,4.43
26.62, 36.16,4.44
26.62, 36.16,4.44
26.85, 35.94,4.44
26.85, 35.94,4.44
27.07, 35.73,4.44
27.07, 35.73,4.44
27.29, 35.51,4.45
27.29, 35.51,4.45
27.5, 35.28,4.45
27.5, 35.28,4.45
27.72, 35.04,4.45
27.72, 35.04,4.45
